Name;Station;Time(norwegian mean time);Snow depth
Hornsund;SN99754;10.06.1997;10
Hornsund;SN99754;11.06.1997;10
Hornsund;SN99754;12.06.1997;10
Hornsund;SN99754;13.06.1997;10
Hornsund;SN99754;14.06.1997;9
Hornsund;SN99754;15.06.1997;7
Hornsund;SN99754;16.06.1997;5
Hornsund;SN99754;17.06.1997;5
Hornsund;SN99754;18.06.1997;0
Hornsund;SN99754;19.06.1997;0
Hornsund;SN99754;20.06.1997;0
Hornsund;SN99754;21.06.1997;0
Hornsund;SN99754;22.06.1997;0
Hornsund;SN99754;23.06.1997;0
Hornsund;SN99754;24.06.1997;0
Hornsund;SN99754;25.06.1997;0
Hornsund;SN99754;21.09.1997;0
Hornsund;SN99754;09.10.1997;0
Hornsund;SN99754;10.10.1997;9
Hornsund;SN99754;11.10.1997;2
Hornsund;SN99754;13.10.1997;2
Hornsund;SN99754;14.10.1997;2
Hornsund;SN99754;15.10.1997;2
Hornsund;SN99754;16.10.1997;2
Hornsund;SN99754;17.10.1997;8
Hornsund;SN99754;18.10.1997;9
Hornsund;SN99754;21.10.1997;10
Hornsund;SN99754;22.10.1997;9
Hornsund;SN99754;23.10.1997;9
Hornsund;SN99754;24.10.1997;8
Hornsund;SN99754;25.10.1997;8
Hornsund;SN99754;26.10.1997;8
Hornsund;SN99754;27.10.1997;8
Hornsund;SN99754;28.10.1997;9
Hornsund;SN99754;29.10.1997;18
Hornsund;SN99754;30.10.1997;15
Hornsund;SN99754;31.10.1997;10
Hornsund;SN99754;01.11.1997;12
Hornsund;SN99754;02.11.1997;11
Hornsund;SN99754;03.11.1997;11
Hornsund;SN99754;04.11.1997;12
Hornsund;SN99754;05.11.1997;12
Hornsund;SN99754;06.11.1997;12
Hornsund;SN99754;07.11.1997;11
Hornsund;SN99754;08.11.1997;11
Hornsund;SN99754;09.11.1997;10
Hornsund;SN99754;10.11.1997;18
Hornsund;SN99754;11.11.1997;25
Hornsund;SN99754;12.11.1997;20
Hornsund;SN99754;13.11.1997;18
Hornsund;SN99754;14.11.1997;18
Hornsund;SN99754;15.11.1997;19
Hornsund;SN99754;16.11.1997;20
Hornsund;SN99754;18.11.1997;12
